                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.60849,                 3.4902,                 1.1247,                0.39187,                0.31477,                0.24823,                0.19589,                0.61497,                 2.6756,                 1.2158,             0.00013261,             0.00013261,             0.00013261
                      2,                0.62129,                 2.6571,                 1.1261,                0.39802,                0.41159,                0.37181,                0.29998,                0.63576,                 2.2487,                 1.2458,             0.00024839,             0.00024839,             0.00024839
                      3,                0.61567,                 2.3401,                 1.1133,                0.50176,                0.45632,                0.46205,                0.35423,                0.66069,                 2.1191,                 1.2579,             0.00034657,             0.00034657,             0.00034657
                      4,                0.58495,                 2.0786,                 1.0868,                0.61876,                0.50281,                0.52136,                 0.4383,                 0.5455,                 1.8259,                 1.1525,              0.0003208,              0.0003208,              0.0003208
                      5,                0.56953,                 1.9203,                  1.083,                0.48928,                0.60849,                0.56299,                0.47545,                0.53575,                 1.5706,                 1.1392,              0.0003208,              0.0003208,              0.0003208
                      6,                0.51633,                 1.9775,                 1.1232,                0.68721,                0.59078,                0.63158,                0.53204,                 0.5288,                 1.4583,                 1.1025,              0.0002944,              0.0002944,              0.0002944
                      7,                0.47313,                 1.6988,                 1.0783,                0.63418,                0.63392,                0.65897,                0.57112,                  0.504,                 1.3061,                 1.0771,               0.000268,               0.000268,               0.000268
                      8,                0.45334,                 1.5416,                 1.0601,                0.60679,                0.62196,                 0.6829,                0.58089,                 0.5183,                 1.1524,                 1.0913,              0.0002416,              0.0002416,              0.0002416
                      9,                0.42827,                 1.4291,                 1.0439,                0.67409,                0.63826,                0.69521,                 0.6048,                0.47569,                 1.1334,                 1.0727,              0.0002152,              0.0002152,              0.0002152
                     10,                0.40306,                 1.2657,                 1.0172,                0.65094,                0.65739,                0.70404,                0.62547,                0.44073,                 1.0883,                 1.0203,              0.0001888,              0.0001888,              0.0001888
                     11,                0.38736,                 1.1971,                 1.0105,                 0.6829,                0.71157,                0.75939,                0.66402,                0.44503,                0.92768,                 1.0329,              0.0001624,              0.0001624,              0.0001624
                     12,                0.36653,                 1.0854,                0.98605,                0.72407,                0.72147,                 0.7681,                0.68125,                0.43107,                0.88817,                 1.0141,               0.000136,               0.000136,               0.000136
                     13,                0.35079,                0.99332,                 0.9765,                0.71828,                0.72134,                0.77085,                0.68358,                0.42233,                 0.8658,                 1.0097,              0.0001096,              0.0001096,              0.0001096
                     14,                0.34159,                0.92036,                0.96196,                0.75573,                0.75101,                0.78964,                 0.7066,                0.39735,                0.82162,                0.98184,               8.32e-05,               8.32e-05,               8.32e-05
                     15,                0.33638,                0.88995,                0.96501,                0.78454,                0.71155,                0.79423,                0.71327,                0.39209,                0.80974,                0.97773,               5.68e-05,               5.68e-05,               5.68e-05
